Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtUnfSF,TotalBsmtSF,GrLivArea,GarageArea,SalePrice
1,60,8450,7,5,2003,2003,150,856,1710,548,208500
2,20,9600,6,8,1976,1976,284,1262,1262,460,181500
3,60,11250,7,5,2001,2002,434,920,1786,608,223500
4,70,9550,7,5,1915,1970,540,756,1717,642,140000
5,60,14260,8,5,2000,2000,490,1145,2198,836,250000
6,50,14115,5,5,1993,1995,64,796,1362,480,143000
7,20,10084,8,5,2004,2005,317,1686,1694,636,307000
8,60,10382,7,6,1973,1973,216,1107,2090,484,200000
9,50,6120,7,5,1931,1950,952,952,1774,468,129900
10,190,7420,5,6,1939,1950,140,991,1077,205,118000
11,20,11200,5,5,1965,1965,134,1040,1040,384,129500
12,60,11924,9,5,2005,2006,177,1175,2324,736,345000
13,20,12968,5,6,1962,1962,175,912,912,352,144000
14,20,10652,7,5,2006,2007,1494,1494,1494,840,279500
15,20,10920,6,5,1960,1960,520,1253,1253,352,157000
16,45,6120,7,8,1929,2001,832,832,854,576,132000
17,20,11241,6,7,1970,1970,426,1004,1004,480,149000
18,90,10791,4,5,1967,1967,0,0,1296,516,90000
19,20,13695,5,5,2004,2004,468,1114,1114,576,159000
20,20,7560,5,6,1958,1965,525,1029,1339,294,139000
21,60,14215,8,5,2005,2006,1158,1158,2376,853,325300
22,45,7449,7,7,1930,1950,637,637,1108,280,139400
23,20,9742,8,5,2002,2002,1777,1777,1795,534,230000
24,120,4224,5,7,1976,1976,200,1040,1060,572,129900
25,20,8246,5,8,1968,2001,204,1060,1060,270,154000
26,20,14230,8,5,2007,2007,1566,1566,1600,890,256300
27,20,7200,5,7,1951,2000,180,900,900,576,134800
28,20,11478,8,5,2007,2008,486,1704,1704,772,306000
29,20,16321,5,6,1957,1997,207,1484,1600,319,207500
30,30,6324,4,6,1927,1950,520,520,520,240,68500
31,70,8500,4,4,1920,1950,649,649,1317,250,40000
32,20,8544,5,6,1966,2006,1228,1228,1228,271,149350
33,20,11049,8,5,2007,2007,1234,1234,1234,484,179900
34,20,10552,5,5,1959,1959,380,1398,1700,447,165500
35,120,7313,9,5,2005,2005,408,1561,1561,556,277500
36,60,13418,8,5,2004,2005,1117,1117,2452,691,309000
37,20,10859,5,5,1994,1995,1097,1097,1097,672,145000
38,20,8532,5,6,1954,1990,84,1297,1297,498,153000
39,20,7922,5,7,1953,2007,326,1057,1057,246,109000
40,90,6040,4,5,1955,1955,0,0,1152,0,82000
41,20,8658,6,5,1965,1965,445,1088,1324,440,160000
42,20,16905,5,6,1959,1959,383,1350,1328,308,170000
43,85,9180,5,7,1983,1983,0,840,884,504,144000
44,20,9200,5,6,1975,1980,167,938,938,308,130250
45,20,7945,5,6,1959,1959,465,1150,1150,300,141000
46,120,7658,9,5,2005,2005,1296,1752,1752,576,319900
47,50,12822,7,5,2003,2003,83,1434,2149,670,239686
48,20,11096,8,5,2006,2006,1632,1656,1656,826,249700
49,190,4456,4,5,1920,2008,736,736,1452,0,113000
50,20,7742,5,7,1966,1966,192,955,955,386,127000
51,60,13869,6,6,1997,1997,612,794,1470,388,177000
52,50,6240,6,6,1934,1950,816,816,1176,528,114500
53,90,8472,5,5,1963,1963,0,816,816,516,110000
54,20,50271,9,5,1981,1987,32,1842,1842,894,385000
55,80,7134,5,5,1955,1955,0,384,1360,572,130000
56,20,10175,6,5,1964,1964,935,1425,1425,576,180500
57,160,2645,8,5,1999,2000,321,970,1739,480,172500
58,60,11645,7,5,2004,2004,860,860,1720,565,196500
59,60,13682,10,5,2006,2006,1410,1410,2945,641,438780
60,20,7200,5,7,1972,1972,148,780,780,352,124900
61,20,13072,6,5,2004,2004,217,1158,1158,576,158000
62,75,7200,5,7,1920,1996,530,530,1111,288,101000
63,120,6442,8,5,2006,2006,1346,1370,1370,484,202500
64,70,10300,7,6,1921,1950,576,576,1710,480,140000
65,60,9375,7,5,1997,1998,318,1057,2034,645,219500
66,60,9591,8,5,2004,2005,1143,1143,2473,852,317000
67,20,19900,7,5,1970,1989,1035,1947,2207,576,180000
68,20,10665,7,5,2003,2003,440,1453,1479,558,226000
69,30,4608,4,6,1945,1950,747,747,747,220,80000
70,50,15593,7,4,1953,1953,701,1304,2287,667,225000
